@Username,Tweet,Lokasi
RizkiR4madani,"Litbang Kompas: Elektabilitas Ganjar Naik, Anies-Prabowo Fluktuatif.  Artinye Rakyat Menginginkan Pak @ganjarpranowo  Menjadi Presiden RI Di Periode 2024-2029. 👍🏻👍🏻❤️🇮🇩💪✊ https://t.co/PYFjyj7aR2","Depok, Jawa Barat"
DinaSuari3,"Relawan Ganjar Ajak Warga NTT Hidup Sehat

Rubicon Pelakor David Dari 2-0 Pak Prabowo H-10 Melankolia Kerupuk Tere Liye Ash Wednesday Bryan Domani

沙莉ちゃん 正式決定 かずりゅちぇ 騒音トラブル ダイパリメイク アスクビクターモア マキマさん ちゅーる 結婚記念日 白桃ブランマンジェ https://t.co/AjCHKr9qcF",Indonesia
MonikaTheres,"Sticker Lantai Praktis Awet
💡https://t.co/mkiek1OfTZ

Hybe Pelakor Tuan Muda #NamJooHyuk #SECRET_NUMBER #LUCAS David Army Don't Lie Rubicon Berkah Dalem Pak Prabowo #GalaxyS23 #YUJU Sarapan Melankolia Jogja Semarang Jakarta Wibu viral Sambo Surabaya https://t.co/IC9R0qocTF",Indonesia
zella_fahira,@Anjasia18 @prabowo @ch_chotimah2 @AirinDatangLagi @newIding30 @NgkongRoses @Wandystjk Benar biar para anggota juga kerja dengan baik gak yg salah kaprah,
KompasTV,"Richard Eliezer menjalani sidang kode etik profesi di gedung TNCC Mabes Polri, Jakarta, Rabu (22/2), usai divonis 1 tahun 6 bulan. Sebelumnya, Kapolri Jenderal Listyo Sigit Prabowo mengatakan akan mempertimbangkan semua aspek meringankan atas Eliezer. 

https://t.co/KlISmKE3Qz https://t.co/w5NJSqu3am",Indonesia
kalpaxclop,"𝙋𝙍𝙊𝙈𝙊 NEW MEMBER #CASHBACK 100%
Link Daftar : 
https://t.co/26aedXvcFz

1.Untuk GAME 𝙎𝙇𝙊𝙏 𝙂𝘼𝙈𝙀 𝙠𝙝𝙪𝙨𝙪𝙨 𝙙𝙚𝙥𝙤𝙨𝙞𝙩 25𝙠 𝙨𝙖𝙟𝙖
2. 𝙈𝙖𝙭𝙞𝙢𝙖𝙡 𝙨𝙖𝙡𝙙𝙤 𝙜𝙖𝙧𝙖𝙣𝙨𝙞 𝙮𝙖𝙣𝙜 𝙙𝙞𝙠𝙚𝙢𝙗𝙖𝙡𝙞𝙠𝙖𝙣 25𝙆
tempe pagii berkah dalem dari 2-0 pak prabowo https://t.co/ag6pWwzvW6","พระนคร, กรุงเทพมหานคร"
hariankompas,"Dalam #SurveiKepemimpinanNasional periode Januari 2023, survei Litbang Kompas merekam elektabilitas @ganjarpranowo 25,3 persen, diikuti @prabowo 18,1 persen dan @aniesbaswedan 13,1 persen.

https://t.co/HqXEVoBHZp

#AdadiKompas","Palmerah, Jakarta"
KabarBurung45,"Petani Adakan Tumpengan dan Doakan P Ganjar

Rubicon Pelakor David Dari 2-0 Pak Prabowo H-10 Melankolia Kerupuk Tere Liye Ash Wednesday Bryan Domani

沙莉ちゃん 正式決定 かずりゅちぇ 騒音トラブル ダイパリメイク アスクビクターモア マキマさん ちゅーる 結婚記念日 白桃ブランマンジェ https://t.co/UDGWuowzpn",Indonesia
Anisama63292459,"Perkataan Jujur Gus Dur Bongkar Sisi Lain Prabowo, Jadi Alasan Pentolan Gerindra Maju Lagi di Pemilu 2024?

Pak Prabowo Capres Pemilu 2024 Presiden RI

https://t.co/V0AAt5Uokj","Lumajang, Indonesia"
Ninaang06470572,"Muzani: Gerindra Ingin Prabowo Presiden, Masalah Kemiskinan dan Stunting Bisa Teratasi
#KitaGerindra #IkutPakde Prabowo Subianto",
BeritakanID_com,"Popularitas Prabowo Salip Anies, Ganjar Terdepak dari Tiga Besar Gegara Nama Ini
https://t.co/2kiWJWCn85",Indonesia
SuryaIr02334994,"@NenkMonica @Gerindra Bagaimana pak @prabowo 

Pak @ListyoSigitP kapan orang ini ditekuk?? Ooo ya lupa (satu kolam) 🤣😅😂😁",
detikcom,"Litbang Kompas keluarkan hasil survei elektabilitas terbaru untuk calon presiden. Dalam Survei tersebut, Ganjar lebih unggul dibandingkan Prabowo dan Anies.  https://t.co/na2nmu1Ayw","Jakarta, Indonesia"
MagdalaDaniela,"Rubicon Pelakor David Dari 2-0 Pak Prabowo H-10 Melankolia Kerupuk Tere Liye Ash Wednesday Bryan Domani

沙莉ちゃん 正式決定 かずりゅちぇ 騒音トラブル ダイパリメイク アスクビクターモア マキマさん ちゅーる 結婚記念日 白桃ブランマンジェ https://t.co/ma9Q7wJPeX",
minalizabeth,"Rubicon Pelakor David Dari 2-0 Pak Prabowo H-10 Melankolia Kerupuk Tere Liye Ash Wednesday Bryan Domani

沙莉ちゃん 正式決定 かずりゅちぇ 騒音トラブル ダイパリメイク アスクビクターモア マキマさん ちゅーる 結婚記念日 白桃ブランマンジェ https://t.co/gWgEAaB7QY",
CerdasBeropini,"Potret Kesederhanaan Pak Ganjar

Rubicon Pelakor David Dari 2-0 Pak Prabowo H-10 Melankolia Kerupuk Tere Liye Ash Wednesday Bryan Domani

沙莉ちゃん 正式決定 かずりゅちぇ 騒音トラブル ダイパリメイク アスクビクターモア マキマさん ちゅーる 結婚記念日 白桃ブランマンジェ https://t.co/2nb7WLvCtM","DKI Jakarta, Indonesia"
MARQUEZ__93,"Berikut hasil survei Litbang Kompas dirilis pada Rabu (22/2/2023) tentang elektabilitas kandidat capres.

Ganjar Pranowo: 25,3%
Prabowo Subianto: 18,1%
Anies Baswedan: 13,1%
Ridwan Kamil: 8,4%

#GPBersatu

@NasDem
@PDI_Perjuangan
@Gerindra
@PartaiGolkar

https://t.co/kMDrnPZMni","DKI Jakarta, Indonesia"
Ninaang06470572,"Peduli Masyarakat, Gerindra Kota Blitar Gelar Aksi Donor Darah #KitaGerindra #IkutPakde Prabowo Subianto https://t.co/losBdrHQt1",
EvangirlC,"Sesuai Arahan Jokowi Cegah Stunting, Puskesmas di Yogyakarta Langsung Operasikan Alat USG
Pak Prabowo
Rubicon
Bryan Domani
Rabu
Guatemala https://t.co/NpJ28l1YEU",Nusa Tenggara Barat
PetuahNegeri,"Pak Ganjar Hadiri Peringatan HUT Ke-50 PPP

Rubicon Pelakor David Dari 2-0 Pak Prabowo H-10 Melankolia Kerupuk Tere Liye Ash Wednesday Bryan Domani

沙莉ちゃん 正式決定 かずりゅちぇ 騒音トラブル ダイパリメイク アスクビクターモア マキマさん ちゅーる 結婚記念日 白桃ブランマンジェ https://t.co/plK8Go8Yhg","DKI Jakarta, Indonesia"
LiliMariella,"Rubicon Pelakor David Dari 2-0 Pak Prabowo H-10 Melankolia Kerupuk Tere Liye Ash Wednesday Bryan Domani

沙莉ちゃん 正式決定 かずりゅちぇ 騒音トラブル ダイパリメイク アスクビクターモア マキマさん ちゅーる 結婚記念日 白桃ブランマンジェ https://t.co/kRjAoUM5FL",
BSipoel,"Survei Voxpol: Elektabilitas Anies Tertinggi Diikuti Ganjar dan Prabowo
https://t.co/ZJTYTnpmxs https://t.co/x3JQMm6tD7",Bandar
angelairnn,"Rubicon Pelakor David Dari 2-0 Pak Prabowo H-10 Melankolia Kerupuk Tere Liye Ash Wednesday Bryan Domani

沙莉ちゃん 正式決定 かずりゅちぇ 騒音トラブル ダイパリメイク アスクビクターモア マキマさん ちゅーる 結婚記念日 白桃ブランマンジェ https://t.co/CnSyyNm9yW",
yaranshop,"Hai, tolong bantu saya membuka kunci 140.000.000 Koin, dan Anda juga bisa mendapatkan hadiah.Klik link di bawah ini untuk membantu saya. https://t.co/U4ntM0ea4p

Pelakor Pak Prabowo David Dari 2-0 Rubicon Madrid Tuan Muda Morningg #GalaxyS23 Sarapan Mowning Berkah Dalem #LUCAS",Indonesia
JunikenTomy,Mungkin saja pak prabowo menang kalo beliau mendapatkan bacawapres yg tepat,
AsumsiPublik,"Joging Di Surabaya, P Ganjar Singgah Ke Sini

Rubicon Pelakor David Dari 2-0 Pak Prabowo H-10 Melankolia Kerupuk Tere Liye Ash Wednesday Bryan Domani

沙莉ちゃん 正式決定 かずりゅちぇ 騒音トラブル ダイパリメイク アスクビクターモア マキマさん ちゅーる 結婚記念日 白桃ブランマンジェ https://t.co/lRBOjHEIjh","DKI Jakarta, Indonesia"
dianabelennn,"Rubicon Pelakor David Dari 2-0 Pak Prabowo H-10 Melankolia Kerupuk Tere Liye Ash Wednesday Bryan Domani

沙莉ちゃん 正式決定 かずりゅちぇ 騒音トラブル ダイパリメイク アスクビクターモア マキマさん ちゅーる 結婚記念日 白桃ブランマンジェ https://t.co/HGe8yuaEvd",
Epadmaaaw,"✨ Uniqlo Socks | 48K✨
🌵 https://t.co/LXAeKXfuqg

Rubicon pelakor pak prabowo tuan muda berkah dalem dari 2-0 #SECRET_NUMBER
#TiffanyxWINReadyToSG #LUCAS H-10 #NamJooHyuk https://t.co/pME6jTqCaK",
kaltimbersuara,#SECRET_NUMBER #ChampionsLeague #ONEPIECE1076 Pak Prabowo Dari 2-0 Pagii Rubicon #NamJooHyuk  #SECRET_NUMBER #SHOHEI Wak Haji 豊田真由子  Wak Haji Don't Lie  雪マーク 騒音トラブル Lebay PJM1 IS COMING Pelakor Liverpool 2-5 Real Madrid #UkraineRussianWar #NamJooHyuk 50% DP,kalimantan Timur
ratih_ploey,"bahwa pertahanan kita adalah pertahanan seluruh rakyat,"" pungkas Prabowo Subianto.
#KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"Kita wujudkan perintah Undang-undang dan Undang-undang Dasar 
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
Legislator75,@raetse @Dahnilanzar @Gerindra @aniesbaswedan @prabowo Org ini (Gerindra) maen di dua kaki satu tukang poles di lembaga survey satu lgi tk degradasi..tpi percayalah krn ini semua nilainya rekayasa dua2 nya pasti gagal...😛,
ratih_ploey,"dalam pemerintahan yang dipimpin pak Jokowi dan saya sebagai Menhan. 
#KitaGerindra #BangkitBersama #IkutPakde Prabowo Subianto",
ratih_ploey,"""Pertama kali dalam sejarah Indonesia, kita punya Komponen Cadangan 
#KitaGerindra #BangkitBersama #IkutPakde Prabowo Subianto",
ratih_ploey,"di mana Komando Teritorial menjadi ujung tombak. Dalam rangka menyukseskan Hankamrata itulah, Komponen Cadangan (Komcad) dibangun.
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"bahwa pertahanan negara Indonesia adalah konsep pertahanan keamanan rakyat semesta (Hankamrata), 
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"Prabowo Subianto di berbagai kesempatan selalu menekankan 
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"Senjata yang kita juga miliki adalah cintanya rakyat kepada republik ini,"" ucap Prabowo Subianto.
#KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"""Boleh negara lain punya senjata yang hebat-hebat. Senjata yang kita juga miliki adalah cintanya rakyat kepada republik ini,"" ucap Prabowo Subianto.
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"Komando Distrik Militer (Kodim), Korambil hingga Babinsa.
#KitaGerindra #BangkitBersama #IkutPakde Prabowo Subianto",
ratih_ploey,"yang berarti seperti Kodam, Komando Daerah Militer (Korem), Komando Distrik Militer (Kodim), Korambil hingga Babinsa.
#KitaGerindra #BangkitBersama #IkutPakde Prabowo Subianto",
ratih_ploey,"pemerintah bakal memperbaiki sejumlah kantor Komando Teritorial di seluruh Indonesia,
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"Tak hanya itu, Prabowo Subianto juga mengungkapkan 
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"kata Prabowo Subianto dalam kunjungannya ke Komando Rayon Militer (Koramil) Serengan 03 Solo, Selasa (24/1).
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"dengan kendaraan motor dan alat komunikasi yang baru,""
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"""Seluruh bintara pembina desa (Babinsa) Indonesia akan kita bekali 
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"mengarahkan dirinya selaku Menhan untuk memberdayakan seluruh Komando Teritorial di Indonesia.
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"Oleh karena itu, pemerintah di bawah Presiden Joko Widodo (Jokowi) 
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"Prabowo Subianto mengatakan komando teritorial adalah tulang punggung pertahanan. 
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"di Komando Rayon Militer (Koramil) Serengan 03 Solo bersama Walikota Solo Gibran Rakabuming Raka, Selasa (24/01).
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde Prabowo Subianto",
ratih_ploey,"dan alat komunikasi (alkom) kepada bintara pembina desa (Babinsa),
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"Menteri Pertahanan (Menhan) Prabowo Subianto menyerahkan motor 
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde",
ratih_ploey,"Prabowo Bareng Gibran Serahkan Motor dan Alkom ke Babinsa di Solo
Prabowo Subianto #KitaGerindra #BangkitBersama #IkutPakde https://t.co/D3sgxPemY3",
ZulfikriLbs,"Wow ada rambut putih,
Atuk Prabowo semesti istirahat,wong udah tuek.
Biarkan Anies yang maju,ngeh ya pak", Indonesia
cdion_s,"Apa Peran Pendamping Desa???? Dari Mana Sumber Gaji Pendamping Desa???
Rubicon, David, Pelakor, Dari2-0
Pak Prabowo, Tuan Muda, Berkah Dalem
H-10, Madrid, Wak Haji, #PendampingDesa
@kemendespdtt @pendampingdeso @halimiskandarnu 
https://t.co/JlK4gfkPoy",Bondowoso
Penjelajah_1,@AKU_dgn3putra @OposisiCerdas Berarti pak Prabowo harus tegur stafnya biar gak jadi beban citra pencapresannya.,
Ninaang06470572,"""Hanya ada sebagian kecil pemilih Jokowi-Maruf dan pemilih Prabowo-Sandi yang menyatakan tidak setuju. #KitaGerindra #IkutPakde Prabowo Subianto",
Ninaang06470572,"""Hanya ada 10,8% publik yang tidak setuju Prabowo bergabung dengan pemerintahan Jokowi-Maruf,"" katanya. #KitaGerindra #IkutPakde Prabowo Subianto",
FarahNatanael,"Kehadiran dan kegiatan safari politik Anies tidak membawa kejayaan bagi masjid serta umat islam yang ada malah perpecahan

Army Pelakor Rubicon H-10 Pak Prabowo David SEOJINS PRESS CONFERENCE Don't Lie Dari 2-0 HAPPY BIRTHDAY WIN Lebay Hybe #TiffanyxWINReadyToSG #YUJU #GalaxyS23 https://t.co/9FSjMID1DX",Tasikmalaya
Disuruh_Iben,"Ganjar Masih Tertinggi, Disusul Prabowo Subianto dan Anies, Berikut Hasil Survei Litbang Kompas Capres 2024 - Tribun Muria https://t.co/DJHPtrslIp #IndonesiaKuat #BangkitBersama",Pulau Impian
Ini_ajunk,"Ganjar Masih Tertinggi, Disusul Prabowo Subianto dan Anies, Berikut Hasil Survei Litbang Kompas Capres 2024 - Tribun Muria https://t.co/buJtxeoN1c #IndonesiaKuat #BangkitBersama",jakarta
Disuruh_Iben,"Terima Kunjungan Perdana Menhan Malaysia, Prabowo: Bukti Hubungan Erat Kedua Negara - Okezone News https://t.co/D2pvDL04j6 #IndonesiaKuat #BangkitBersama",Pulau Impian
Ini_ajunk,"Terima Kunjungan Perdana Menhan Malaysia, Prabowo Subianto: Bukti Hubungan Erat Kedua Negara - Okezone News https://t.co/3XylSHZnjU #IndonesiaKuat #BangkitBersama",jakarta
